species,TempClass
Streptomyces spectabilis,Mesophilic
Agrococcus sp. Marseille-Q4369,
Amycolatopsis thermalba,
Cupriavidus metallidurans,
Luteibacter anthropi,
Streptomyces armeniacus,Mesophilic
Streptomyces sp. YIM 121038,Mesophilic
Cnuibacter physcomitrellae,
Achromobacter insolitus,
Microbacterium sp. A18JL241,
Brucella intermedia,
Anaeromyxobacter oryzae,
Leucobacter sp. H25R-14,
Aureimonas sp. OT7,
Microbacterium lemovicicum,
Shinella sp. PSBB067,
Burkholderia lata,
Streptomyces sp. CdTB01,Mesophilic
Bordetella pertussis,
Oryza brachyantha,
Streptomyces sp. RLB1-9,Mesophilic
Acidovorax sp. GBBC 1281,
Mesorhizobium sp. 113-1-2,
Geobacillus thermodenitrificans,Thermophilic
Roseitalea porphyridii,
Serinicoccus hydrothermalis,
Rhizorhabdus wittichii,
Methylococcus capsulatus,
Cereibacter sphaeroides,
Herbiconiux sp. L3-i23,
Nocardioides jishulii,
Streptomyces sp. MBT27,Mesophilic
Kibdelosporangium phytohabitans,
Bordetella trematum,
Microbacterium sp. Clip185,
Hydrogenophaga sp. SL48,
Kitasatospora setae,
Streptomyces sp. NBC_00162,Mesophilic
Yinghuangia sp. ASG 101,
Rhizobium pusense,
Agromyces aureus,
Jatrophihabitans sp. SB3-54,
Microbacterium lushaniae,
Mycobacterium tuberculosis,
Methylobacterium sp. 4-46,
Mycobacterium grossiae,
Variovorax sp. HW608,
Actinomyces marmotae,
Streptomyces harbinensis,Mesophilic
Lentzea guizhouensis,
Delftia tsuruhatensis,
Bradyrhizobium arachidis,
Streptomyces griseoviridis,Mesophilic
Herbiconiux sp. SALV-R1,
Lentzea sp. HUAS12,
Mesorhizobium sp. NZP2298,
Thauera sp. K11,
Brachybacterium ginsengisoli,
Nocardioides houyundeii,
Burkholderia ubonensis,
Mesorhizobium sp. M6A.T.Cr.TU.016.01.1.1,
Xanthomonas sp. SI,
Nocardia farcinica,
Solibacillus sp. ZS111008,
Bordetella bronchialis,
Anaeromyxobacter paludicola,
Luteolibacter ambystomatis,
Microbacterium schleiferi,
Achromobacter sp. MFA1 R4,
Microbacterium sp. nov. GSS16,
Friedmanniella luteola,
Streptomyces sp. NHF165,Mesophilic
Thauera sp. MZ1T,
Enterobacter hormaechei,Mesophilic
Streptomyces prasinus,Mesophilic
Candidatus Frankia datiscae,
Rhizobium sp. CCGE531,
Pseudomonas lalkuanensis,Mesophilic
Salinispora tropica,
Rhodospirillum centenum,
Azospirillum thermophilum,
Pusillimonas sp. T7-7,
Rhodanobacter denitrificans,
Modestobacter sp. L9-4,
Streptomyces peucetius,Mesophilic
Streptomyces sp. KMM 9044,Mesophilic
Leifsonia sp. ZF2019,
Pigmentiphaga sp. H8,
Chromobacterium vaccinii,
Streptomyces sp. A2-16,Mesophilic
Nocardioides piscis,
Mesorhizobium erdmanii,
Mesorhizobium sp. PAMC28654,
Streptomyces sp. ST1015,Mesophilic
Saccharopolyspora gregorii,
Microbacterium sp. EF45047,
Ruania alkalisoli,
Marichromatium purpuratum,
Catenulispora acidiphila,
Clavibacter phaseoli,
Streptomyces ambofaciens,Mesophilic
Corynebacterium stationis,
Paracoccus alcaliphilus,
Brevibacterium sp. BRM-1,
Paraoerskovia marina,
Brachybacterium sp. NBEC-018,
Solibacillus silvestris,
Mesorhizobium sp. 113-3-9,
Devosia sp. I507,
Shinella sp. HZN7,
Bosea sp. RAC05,
Streptomyces lavendulae,Mesophilic
Microbacterium sp. SL75,
Mycolicibacterium pulveris,
Propioniciclava coleopterorum,
Aquisphaera giovannonii,
Gossypium arboreum,
Actinosynnema pretiosum,
Oricola thermophila,
Olea europaea,
Aureimonas mangrovi,
Mesorhizobium sp. WSM1497,
Propioniciclava sp. MC1595,
Mesorhizobium sp. L-2-11,
Diaphorobacter nitroreducens,
Micromonospora sp. LH3U1,
Nocardioides euryhalodurans,
Cellvibrio sp. QJXJ,
Streptomyces tendae,Mesophilic
Diaminobutyricimonas sp. LJ205,
Tessaracoccus flavescens,
Aurantimonas sp. HBX-1,
Paracoccus yeei,
Azoarcus olearius,
Thermoactinomyces vulgaris,Thermophilic
Hartmannibacter diazotrophicus,
Paracoccus sp. MA,
Roseomonas sp. OT10,
Streptomyces globosus,Mesophilic
Streptomyces sp. C8S0,Mesophilic
Microbacterium pygmaeum,
Thermaerobacter sp. PB12/4term,
Verminephrobacter eiseniae,
Verrucosispora sp. NA02020,
Jeotgalicoccus saudimassiliensis,
Brassica napus,
Streptomyces tsukubensis,Mesophilic
Brachybacterium sp. P6-10-X1,
Caldibacillus thermoamylovorans,
Weeksella virosa,
Mesorhizobium amorphae,
Microvirga thermotolerans,
Polymorphum gilvum,
Cellulomonas sp. WB94,
Mycolicibacter sinensis,
Caulobacter flavus,
Luteibacter sp. 321,
Microbacterium sp. BH-3-3-3,
Bordetella flabilis,
Streptantibioticus cattleyicolor,
Streptomyces sp. VN1,Mesophilic
Devosia sp. A16,
Bradyrhizobium erythrophlei,
Bordetella parapertussis,
Microbacterium paraoxydans,
Streptomyces cyanogenus,Mesophilic
Amycolatopsis pretoriensis,
Kineococcus radiotolerans,
Mycolicibacterium austroafricanum,
Vigna unguiculata,
Bifidobacterium animalis,
Nocardioides sp. InS609-2,
Mesorhizobium sp. AR07,
Gulosibacter sediminis,
Algoriphagus sp. Y33,
Pseudomonas sp. OIL-1,Mesophilic
Tautonia plasticadhaerens,
Thermaerobacter marianensis,
Chitinimonas koreensis,
Amycolatopsis methanolica,
Pelagibacterium halotolerans,
Microbacterium sp. 4R-513,
Microbacterium sp. KUDC0405,
Microbacterium sp. 10M-3C3,
Streptomyces drozdowiczii,Mesophilic
Phreatobacter stygius,
Rhodanobacter sp. FDAARGOS 1247,
Streptomyces sp. T12,Mesophilic
Dietzia sp. oral taxon 368,
Azoarcus sp. DD4,
Kitasatospora sp. MMS16-BH015,
Bordetella genomosp. 8,
Streptomyces sp. SYP-A7193,Mesophilic
Ornithinimicrobium sp. JY.X270,
Thioalkalivibrio sulfidiphilus,
Brevibacterium sp. SMBL_HHYL_HB1,
Streptomyces luteoverticillatus,Mesophilic
Streptomyces paludis,Mesophilic
Nordella sp. HKS 07,
Microvirga sp. 17 mud 1-3,
Phyllobacterium zundukense,
Mesorhizobium sp. M2A.F.Ca.ET.043.02.1.1,
Variovorax sp. PAMC26660,
Sinomonas sp. R1AF57,
Amycolatopsis sp. DSM 110486,
Hypericibacter terrae,
Anaeromyxobacter sp. K,
Asparagus officinalis,
Pseudomonas guangdongensis,Mesophilic
Brachybacterium vulturis,
Saccharomonospora glauca,
Kinneretia sp. DAIF2,
Stutzerimonas frequens,
Streptacidiphilus sp. P02-A3a,
Mesorhizobium sp. NBSH29,
Nocardioides sp. Kera G14,
Sphingomonas sanxanigenens,
Amycolatopsis acidiphila,
Lysinibacillus sp. 2017,
Sphingobacterium thalpophilum,
Mycolicibacterium smegmatis,
Streptomyces sp. DSM 40868,Mesophilic
Cohnella candidum,
Brachybacterium halotolerans,
Microbacterium aurum,
Aeromicrobium sp. zg.Y1379,
Streptomyces angustmyceticus,Mesophilic
Marinimicrobium sp. C6131,
Actinomyces radicidentis,
Streptomyces liangshanensis,Mesophilic
Streptomyces rapamycinicus,Mesophilic
Gordonia polyisoprenivorans,
Streptomyces clavuligerus,Mesophilic
Amycolatopsis sp. FDAARGOS 1241,
Amycolatopsis sp. Hca4,
Blastochloris tepida,
Pseudolysobacter antarcticus,
Streptomyces bathyalis,Mesophilic
Janibacter indicus,
Devosia ginsengisoli,
Devosia salina,
Nocardioides sp. CF8,
Sphingobacterium multivorum,
Hypericibacter adhaerens,
Parageobacillus toebii,Thermophilic
Niveibacterium microcysteis,
